"Stage","SeqNr","Timestamp","Phase","Width","Vprim"
A,1533,26646450,0,144,2808
A,1534,26646581,1,145,2522
A,1535,26681260,0,143,2801
A,1536,26681389,1,146,2461
A,1537,26716069,0,143,2914
A,1538,26716199,1,145,2454
A,1539,26750881,0,144,2855
A,1540,26751011,1,146,2438
A,1541,26785694,0,144,3063
A,1542,26785825,1,145,2454
A,1543,26820507,0,144,2941
A,1544,26820636,1,147,2467
A,1545,26855318,0,144,3031
A,1546,26855448,1,145,2463
A,1547,26890124,0,144,3180
A,1548,26890254,1,145,2686
B,817,26917367,0,145,2337
B,818,26917502,1,143,1757
A,1549,26924936,0,144,2903
A,1550,26925064,1,147,2465
B,819,26952180,0,145,2332
B,820,26952315,1,143,1768
A,1551,26959748,0,144,2948
A,1552,26959879,1,145,2456
B,821,26986994,0,144,2280
B,822,26987129,1,142,1764
A,1553,26994562,0,144,2973
A,1554,26994695,1,143,2485
B,823,27021807,0,145,2271
B,824,27021943,1,141,1743
A,1555,27029375,0,144,2864
A,1556,27029505,1,145,2458
B,825,27056617,0,145,2332
B,826,27056753,1,142,1757
A,1557,27064184,0,144,2984
A,1558,27064314,1,146,2465
B,827,27091426,0,145,2289
B,828,27091561,1,143,1727
A,1559,27098993,0,144,2826
A,1560,27099125,1,143,2456
B,829,27126233,0,145,2312
B,830,27126370,1,140,1750
A,1561,27133799,0,144,2844
A,1562,27133932,1,142,2472
B,831,27161038,0,145,2330
B,832,27161174,1,142,1712
