"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
A,127537,2091524461,0,189,2506
A,127538,2091524636,1,189,2106
B,118579,2091526078,0,209,2504
B,118580,2091526279,1,204,1906
A,127539,2091533814,0,187,2497
A,127540,2091533990,1,186,2093
B,118581,2091535367,0,210,2510
B,118582,2091535568,1,206,1910
A,127541,2091543114,0,185,2476
A,127542,2091543288,1,184,2093
B,118583,2091544659,0,211,2531
B,118584,2091544860,1,209,1917
A,127543,2091552412,0,184,2449
A,127544,2091552583,1,184,2102
B,118585,2091553954,0,212,2494
B,118586,2091554154,1,212,1935
A,127545,2091561758,0,183,2490
A,127546,2091561929,1,183,2136
B,118587,2091563250,0,213,2289
B,118588,2091563455,1,209,1917
A,127547,2091571101,0,182,2447
A,127548,2091571272,1,181,2100
B,118589,2091572548,0,214,2519
B,118590,2091572754,1,210,1910
A,127549,2091580392,0,181,2282
A,127550,2091580559,1,184,2091
B,118591,2091581848,0,215,2485
B,118592,2091582055,1,211,1906
A,127551,2091589682,0,181,2481
A,127552,2091589849,1,184,2041
B,118593,2091591254,0,214,2506
B,118594,2091591458,1,211,1879
A,127553,2091598972,0,181,2436
A,127554,2091599139,1,184,2097
B,118595,2091600605,0,212,2438
B,118596,2091600805,1,211,1940
A,127555,2091608260,0,182,2456
A,127556,2091608429,1,183,2095
B,118597,2091610003,0,211,2452
B,118598,2091610204,1,209,1926
A,127557,2091617548,0,182,2452
A,127558,2091617719,1,181,2093
B,118599,2091619399,0,210,2492
B,118600,2091619597,1,209,1924
A,127559,2091626837,0,181,2461
A,127560,2091627007,1,181,2086
B,118601,2091628794,0,208,2485
B,118602,2091628992,1,207,1926
A,127561,2091636124,0,182,2289
A,127562,2091636295,1,181,2091
B,118603,2091638186,0,208,2429
B,118604,2091638385,1,204,1910
A,127563,2091645411,0,182,2467
A,127564,2091645580,1,183,2097
B,118605,2091647575,0,207,2506
B,118606,2091647770,1,206,1928
A,127565,2091654700,0,182,2454
A,127566,2091654870,1,182,2073
B,118607,2091656964,0,205,2497
B,118608,2091657157,1,205,1926
A,127567,2091663989,0,182,2508
A,127568,2091664162,1,179,2064
B,118609,2091666298,0,204,2506
B,118610,2091666490,1,203,1924
A,127569,2091673277,0,183,2470
A,127570,2091673448,1,182,2106
B,118611,2091675681,0,202,2497
B,118612,2091675873,1,201,1919
A,127571,2091682569,0,182,2355
A,127572,2091682739,1,182,2097
B,118613,2091685063,0,202,2413
B,118614,2091685255,1,199,1919
A,127573,2091691859,0,182,2474
A,127574,2091692032,1,178,2064
B,118615,2091694442,0,201,2494
B,118616,2091694633,1,198,1901
A,127575,2091701147,0,182,2438
A,127576,2091701317,1,182,2095
B,118617,2091703819,0,200,2494
B,118618,2091704009,1,197,1912
A,127577,2091710436,0,182,2476
A,127578,2091710604,1,184,2104
B,118619,2091713194,0,199,2508
