"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
A,1,106081,0,210,2522
A,2,106279,1,209,2170
B,1,111004,0,192,2515
B,2,111185,1,190,1958
B,3,174546,0,200,2535
B,4,174734,1,200,1976
A,3,175300,0,202,2526
A,4,175492,1,200,2140
B,5,237712,0,208,2551
B,6,237910,1,206,1969
A,5,243938,0,194,2664
A,6,244120,1,194,2158
B,7,300896,0,215,2465
B,8,301101,1,213,1971
A,7,311781,0,188,2407
A,8,311955,1,190,2156
B,9,369564,0,206,2447
B,10,369761,1,203,1944
A,9,377665,0,188,2515
A,10,377838,1,190,2152
B,11,438224,0,198,2562
B,12,438411,1,196,1958
A,11,443556,0,188,2567
A,12,443732,1,188,2158
B,13,506859,0,189,2508
B,14,507037,1,187,1951
A,13,509440,0,187,2508
A,14,509616,1,188,2147
B,15,572742,0,189,2564
B,16,572920,1,187,1955
A,15,573371,0,195,2501
A,16,573554,1,195,2154
A,17,636536,0,203,2555
A,18,636728,1,202,2161
B,17,638626,0,189,2555
B,18,638804,1,188,1949
A,19,699718,0,211,2582
A,20,699914,1,214,2170
B,19,704511,0,189,2542
B,20,704688,1,189,1967
A,21,766048,0,209,2528
A,22,766247,1,207,2170
B,21,768844,0,194,2553
B,22,769029,1,192,1958
B,23,832401,0,202,2551
B,24,832593,1,201,1967
A,23,834712,0,201,2524
A,24,834900,1,202,2183
B,25,895969,0,211,2573
B,26,896168,1,210,1978
A,25,903355,0,193,2537
A,26,903535,1,194,2152
B,27,961510,0,211,2564
B,28,961711,1,209,1962
A,27,970034,0,189,2422
A,28,970212,1,190,2163
B,29,1030180,0,203,2483
B,30,1030372,1,201,1967
A,29,1035931,0,190,2524
A,30,1036112,1,187,2127
B,31,1098840,0,195,2535
B,32,1099024,1,193,1942
A,31,1101833,0,190,2413
A,32,1102014,1,187,2129
B,33,1166308,0,191,2490
B,34,1166488,1,190,1953
A,33,1166952,0,196,2528
A,34,1167136,1,192,2161
A,35,1230511,0,203,2573
A,36,1230701,1,203,2172
B,35,1232203,0,191,2461
B,36,1232386,1,187,1901
A,37,1293697,0,210,2560
A,38,1293896,1,209,2176
B,37,1298099,0,191,2429
B,38,1298277,1,191,1976
A,39,1359244,0,210,2470
A,40,1359443,1,208,2170
B,39,1362824,0,196,2551
B,40,1363008,1,195,1960
B,41,1426389,0,204,2384
B,42,1426582,1,202,1967
A,41,1427915,0,202,2643
A,42,1428108,1,199,2152
B,43,1489594,0,212,2555
B,44,1489796,1,209,1969
A,43,1496587,0,194,2537
A,44,1496769,1,194,2154
B,45,1555932,0,210,2558
B,46,1556132,1,208,1973
A,45,1563280,0,192,2562
A,46,1563459,1,193,2170
B,47,1624605,0,202,2546
B,48,1624796,1,201,1998
A,47,1629185,0,192,2553
A,48,1629365,1,192,2118
B,49,1693251,0,194,2558
B,50,1693432,1,195,1969
A,49,1695078,0,192,2528
A,50,1695257,1,194,2154
A,51,1759038,0,199,2560
A,52,1759227,1,197,2138
B,51,1759733,0,194,2542
B,52,1759914,1,192,1964
A,53,1822613,0,207,2519
A,54,1822808,1,207,2170
B,53,1825638,0,193,2388
B,54,1825820,1,192,1962
A,55,1885815,0,215,2560
A,56,1886017,1,215,2190
B,55,1891544,0,195,2549
B,56,1891727,1,194,1971
A,57,1954888,0,205,2474
A,58,1955080,1,206,2167
B,57,1955676,0,199,2542
B,58,1955864,1,202,1964
B,59,2018865,0,211,2461
B,60,2019067,1,207,1953
A,59,2023555,0,197,2476
A,60,2023740,1,197,2140
B,61,2084428,0,211,2619
B,62,2084630,1,208,1953
A,61,2090655,0,194,2499
A,62,2090837,1,194,2158
B,63,2153100,0,203,2564
B,64,2153292,1,202,1969
A,63,2156562,0,194,2528
A,64,2156744,1,193,2149
B,65,2221751,0,195,2429
B,66,2221936,1,193,1951
A,65,2222462,0,194,2504
A,66,2222645,1,193,2201
A,67,2286023,0,202,2535
A,68,2286212,1,203,2176
B,67,2287655,0,195,2431
B,68,2287840,1,193,1960
A,69,2349599,0,209,2454
A,70,2349797,1,209,2226
B,69,2353558,0,195,2546
B,70,2353743,1,193,1946
A,71,2415142,0,211,2411
A,72,2415341,1,210,2152
B,71,2418288,0,200,2598
B,72,2418480,1,196,1960
B,73,2481868,0,208,2558
B,74,2482066,1,205,1962
A,73,2483821,0,203,2664
A,74,2484010,1,204,2170
B,75,2545071,0,215,2452
B,76,2545275,1,213,1969
A,75,2552090,0,197,2650
A,76,2552275,1,196,2163
B,77,2614140,0,206,2436
B,78,2614335,1,204,1962
A,77,2618000,0,196,2531
A,78,2618181,1,199,2152
B,79,2682806,0,198,2515
B,80,2682996,1,194,1942
A,79,2683914,0,196,2528
A,80,2684098,1,196,2165
A,81,2747874,0,203,2596
A,82,2748066,1,202,2161
B,81,2749113,0,197,2294
B,82,2749300,1,194,1958
A,83,2811459,0,210,2535
A,84,2811657,1,210,2176
B,83,2815026,0,197,2388
B,84,2815212,1,195,1973
A,85,2877010,0,210,2528
A,86,2877206,1,212,2174
B,85,2879377,0,203,2551
B,86,2879569,1,202,1946
B,87,2942961,0,210,2427
B,88,2943159,1,209,1973
A,87,2945687,0,201,2544
A,88,2945873,1,204,2172
B,89,3007720,0,212,2562
B,90,3007920,1,212,1982
A,89,3012774,0,197,2515
