"Stage","SeqNr","Timestamp","Phase","Width","Vprim"
A,647,6560335,0,143,2310
A,648,6560464,1,146,2037
A,649,6567245,0,144,2409
A,650,6567378,1,143,2021
A,651,6574157,0,144,2384
A,652,6574289,1,144,2086
A,653,6581068,0,143,2456
A,654,6581197,1,146,2032
A,655,6587978,0,144,2395
A,656,6588111,1,143,2009
A,657,6594890,0,144,2420
A,658,6595020,1,146,2025
A,659,6601802,0,144,2373
A,660,6601931,1,147,2037
A,661,6608714,0,144,2472
A,662,6608846,1,144,2084
A,663,6615628,0,144,2416
A,664,6615760,1,143,2037
A,665,6622541,0,144,2465
A,666,6622673,1,144,2021
A,667,6629454,0,144,2537
A,668,6629587,1,143,2018
A,669,6636368,0,144,2391
A,670,6636501,1,143,2023
A,671,6643281,0,144,2404
A,672,6643412,1,145,2034
A,673,6650195,0,143,2379
A,674,6650329,1,141,2009
A,675,6657107,0,144,2472
A,676,6657236,1,147,2021
A,677,6664020,0,144,2431
A,678,6664152,1,144,2032
A,679,6670934,0,144,2242
A,680,6671066,1,144,2032
A,681,6677847,0,144,2420
A,682,6677978,1,145,2037
A,683,6684759,0,144,2352
A,684,6684889,1,146,2034
A,685,6691671,0,144,2413
A,686,6691804,1,143,2034
A,687,6698584,0,144,2386
A,688,6698716,1,144,2030
A,689,6705497,0,143,2400
A,690,6705627,1,145,2018
A,691,6712409,0,143,2422
A,692,6712541,1,143,2021
A,693,6719320,0,144,2402
A,694,6719453,1,143,1996
A,695,6726231,0,144,2427
A,696,6726366,1,141,2012
A,697,6733144,0,144,2341
A,698,6733276,1,144,2023
A,699,6740056,0,143,2407
A,700,6740185,1,146,1996
A,701,6746965,0,143,2361
A,702,6747100,1,141,2000
A,703,6753876,0,143,2458
A,704,6754007,1,144,2028
A,705,6760786,0,144,2458
A,706,6760915,1,147,2032
A,707,6767697,0,144,2404
A,708,6767832,1,140,1996
A,709,6774607,0,143,2400
A,710,6774735,1,147,2018
A,711,6781517,0,144,2368
A,712,6781647,1,146,2023
A,713,6788427,0,144,2434
A,714,6788559,1,144,2032
A,715,6795338,0,144,2240
A,716,6795470,1,144,2034
A,717,6802248,0,144,2494
A,718,6802377,1,147,2028
A,719,6809159,0,144,2413
A,720,6809290,1,145,2030
A,721,6816070,0,144,2352
A,722,6816203,1,143,2025
A,723,6822982,0,144,2443
A,724,6823114,1,144,2014
A,725,6829892,0,143,2388
A,726,6830024,1,143,2037
A,727,6836801,0,144,2463
A,728,6836932,1,145,2032
A,729,6843710,0,144,2515
A,730,6843841,1,145,2032
A,731,6850621,0,144,2411
A,732,6850755,1,142,2012
A,733,6857532,0,145,2402
A,734,6857665,1,143,2018
A,735,6864444,0,144,2404
A,736,6864576,1,143,2014
A,737,6871354,0,145,2379
A,738,6871487,1,144,2037
A,739,6878266,0,144,2377
A,740,6878397,1,145,2039
A,741,6885176,0,144,2492
A,742,6885306,1,147,2057
A,743,6892088,0,144,2330
A,744,6892220,1,144,2030
A,745,6898999,0,144,2231
A,746,6899129,1,146,2032
A,747,6905910,0,144,2465
A,748,6906045,1,141,2014
A,749,6912821,0,144,2364
A,750,6912953,1,144,2034
A,751,6919732,0,144,2368
A,752,6919861,1,146,2032
A,753,6926642,0,144,2366
A,754,6926773,1,145,2032
A,755,6933554,0,143,2341
A,756,6933686,1,143,2025
A,757,6940465,0,143,2402
A,758,6940597,1,143,2018
A,759,6947375,0,145,2519
A,760,6947507,1,144,2032
A,761,6954285,0,145,2379
A,762,6954418,1,144,2059
A,763,6961197,0,144,2434
A,764,6961329,1,144,2028
A,765,6968107,0,144,2339
A,766,6968240,1,143,2039
A,767,6975018,0,144,2296
A,768,6975151,1,143,2025
A,769,6981929,0,143,2413
A,770,6982063,1,141,2009
A,771,6988840,0,144,2434
A,772,6988975,1,141,2009
A,773,6995753,0,143,2431
A,774,6995883,1,145,2032
A,775,7002665,0,144,2540
A,776,7002797,1,144,2028
A,777,7009578,0,144,2404
A,778,7009712,1,142,2012
A,779,7016491,0,144,2456
A,780,7016620,1,147,2028
A,781,7023401,0,145,2456
A,782,7023534,1,144,2034
A,783,7030313,0,144,2222
A,784,7030445,1,144,2030
A,785,7037224,0,143,2470
A,786,7037354,1,146,2032
A,787,7044136,0,144,2370
A,788,7044267,1,145,2030
A,789,7051048,0,144,2402
A,790,7051181,1,143,2009
A,791,7057959,0,144,2470
A,792,7058090,1,145,2028
A,793,7064871,0,143,2400
A,794,7065002,1,145,2041
A,795,7071782,0,144,2447
A,796,7071913,1,145,2028
A,797,7078694,0,143,2456
A,798,7078826,1,144,2032
A,799,7085606,0,144,2397
A,800,7085741,1,141,2000
A,801,7092517,0,144,2391
A,802,7092648,1,145,2018
A,803,7099429,0,145,2341
A,804,7099565,1,141,2009
A,805,7106341,0,144,2323
A,806,7106474,1,143,1924
A,807,7113253,0,144,2420
A,808,7113385,1,144,2030
A,809,7120165,0,143,2316
A,810,7120297,1,143,2032
A,811,7127076,0,144,2407
A,812,7127208,1,144,2032
A,813,7133987,0,144,2393
A,814,7134117,1,146,2037
A,815,7140899,0,143,2413
A,816,7141031,1,143,2032
A,817,7147810,0,143,2449
A,818,7147940,1,146,2034
A,819,7154721,0,144,2470
A,820,7154852,1,145,2023
A,821,7161632,0,144,2418
A,822,7161764,1,144,2028
A,823,7168543,0,144,2519
A,824,7168675,1,144,2025
A,825,7175455,0,144,2262
A,826,7175586,1,145,2032
A,827,7182367,0,144,2440
A,828,7182496,1,147,2048
A,829,7189279,0,143,2411
A,830,7189411,1,143,2032
A,831,7196190,0,144,2452
A,832,7196323,1,143,2014
A,833,7203101,0,143,2319
A,834,7203232,1,144,2016
A,835,7210011,0,144,2418
A,836,7210144,1,143,2018
A,837,7216923,0,143,2337
A,838,7217052,1,147,2034
A,839,7223834,0,144,2388
A,840,7223966,1,144,2037
A,841,7230746,0,143,2416
A,842,7230878,1,143,2028
A,843,7237658,0,143,2280
A,844,7237787,1,147,2104
A,845,7244570,0,143,2402
A,846,7244704,1,141,1946
A,847,7251480,0,144,2364
A,848,7251610,1,146,2039
A,849,7258391,0,144,2413
A,850,7258520,1,147,2037
A,851,7265302,0,144,2172
A,852,7265431,1,147,1996
A,853,7272212,0,144,2397
A,854,7272346,1,143,2014
A,855,7279124,0,144,2440
A,856,7279257,1,143,2018
A,857,7286035,0,144,2461
A,858,7286168,1,143,2000
A,859,7292946,0,144,2461
A,860,7293075,1,147,2037
A,861,7299858,0,143,2454
A,862,7299990,1,144,2037
A,863,7306768,0,144,2569
A,864,7306903,1,141,2005
A,865,7313679,0,144,2438
A,866,7313810,1,144,2032
A,867,7320590,0,144,2316
A,868,7320722,1,144,2005
A,869,7327501,0,144,2409
A,870,7327632,1,145,2043
A,871,7334412,0,143,2386
A,872,7334540,1,147,2034
A,873,7341323,0,143,2454
A,874,7341454,1,145,2034
A,875,7348235,0,143,2404
A,876,7348365,1,145,2030
A,877,7355146,0,144,2282
A,878,7355280,1,141,2012
A,879,7362058,0,143,2397
A,880,7362192,1,142,2016
A,881,7368968,0,144,2413
A,882,7369100,1,144,2023
A,883,7375881,0,143,2269
A,884,7376010,1,146,2032
A,885,7382791,0,144,2343
A,886,7382922,1,145,2037
A,887,7389703,0,144,2454
A,888,7389833,1,146,2016
A,889,7396615,0,144,2445
A,890,7396750,1,141,2003
A,891,7403527,0,144,2438
A,892,7403656,1,147,2037
A,893,7410440,0,144,2411
A,894,7410575,1,140,2018
A,895,7417352,0,144,2463
A,896,7417483,1,145,2102
A,897,7424265,0,144,2422
A,898,7424394,1,147,2032
A,899,7431178,0,143,2384
A,900,7431312,1,141,2005
A,901,7438089,0,144,2373
A,902,7438219,1,146,2037
